iter	MultiClass
0	2.501710555
1	2.309531903
2	2.101604871
3	1.964354678
4	1.845222828
5	1.774581654
6	1.712196129
7	1.655518184
8	1.589371477
9	1.533573507
10	1.493590141
11	1.45596066
12	1.416016285
13	1.383603442
14	1.351801134
15	1.32313485
16	1.300355792
17	1.277122049
18	1.258829696
19	1.240955289
20	1.225565634
21	1.201222619
22	1.185679649
23	1.167924056
24	1.154903085
25	1.142297704
26	1.129661584
27	1.116460853
28	1.100307693
29	1.089795796
30	1.080627392
31	1.073545051
32	1.06358902
33	1.057727756
34	1.049323792
35	1.039163745
36	1.03200513
37	1.027226358
38	1.019487216
39	1.012643225
40	1.005566577
41	0.999753109
42	0.993988274
43	0.9871580883
44	0.98055256
45	0.9767553131
46	0.9698789978
47	0.9649200558
48	0.9590104275
49	0.9543130609
50	0.9498274938
51	0.9441040458
52	0.9402987244
53	0.9361510805
54	0.9316309464
55	0.9264124669
56	0.9212677057
57	0.9178241795
58	0.9133752146
59	0.90880714
60	0.9034935938
61	0.8992443031
62	0.8951929165
63	0.8905307447
64	0.8868110846
65	0.8833213368
66	0.8779873048
67	0.8742444039
68	0.8708008887
69	0.8657904486
70	0.8619657966
71	0.8571168793
72	0.8527279077
73	0.8494609208
74	0.8447756876
75	0.8406169837
76	0.836895925
77	0.8320259392
78	0.8291985745
79	0.8262047808
80	0.8221711587
81	0.8193746012
82	0.8172247159
83	0.8144691415
84	0.812073294
85	0.8078064637
86	0.8033168849
87	0.8001559259
88	0.7966140224
89	0.7932263161
90	0.7900262988
91	0.787268491
92	0.783996042
93	0.7811320561
94	0.7781915641
95	0.7757504947
96	0.7726438482
97	0.7692085612
98	0.7656506056
99	0.7630414452
100	0.7599808175
101	0.7578806798
102	0.7550304154
103	0.7523920159
104	0.7500512918
105	0.7476833271
106	0.7444896323
107	0.7413963089
108	0.7385997438
109	0.73508101
110	0.7317665036
111	0.7292378692
112	0.7257061304
113	0.7232490935
114	0.7195702878
115	0.7171623921
116	0.7142752607
117	0.7118781163
118	0.7097784654
119	0.7073923587
120	0.7050631843
121	0.7019913898
122	0.699607527
123	0.6969293105
124	0.694478476
125	0.6923289803
126	0.690140332
127	0.6870426211
128	0.684767227
129	0.6828557034
130	0.6808675174
131	0.6785542275
132	0.6762439867
133	0.6741314455
134	0.6720981983
135	0.6697709609
136	0.6674481016
137	0.6655222415
138	0.6635366385
139	0.6616112162
140	0.6596008501
141	0.657862803
142	0.6561638695
143	0.6525651949
144	0.6505169936
145	0.6484577632
146	0.6460541493
147	0.6442169071
148	0.6423494875
149	0.6406514447
150	0.638982477
151	0.6365760303
152	0.6349605877
153	0.6328015438
154	0.6312197685
155	0.6293866526
156	0.6276655999
157	0.6258084283
158	0.6222381793
159	0.6205773588
160	0.6189667715
161	0.617392932
162	0.6159002956
163	0.6143791923
164	0.6127594293
165	0.6110901603
166	0.6094592473
167	0.6079108902
168	0.6063746556
169	0.6046340961
170	0.6030160376
171	0.6015040687
172	0.6000921033
173	0.5983506
174	0.5970116552
175	0.5955426648
176	0.5940036798
177	0.5927030715
178	0.5914412721
179	0.590170763
180	0.5887628619
181	0.5875640213
182	0.5859102406
183	0.583925812
184	0.5825340006
185	0.5812170096
186	0.579807867
187	0.5781375651
188	0.5769136481
189	0.5756297056
190	0.5739116648
191	0.5724618692
192	0.5710320229
193	0.5696293778
194	0.5684748011
195	0.5671991813
196	0.566036328
197	0.5648721183
198	0.5623802316
199	0.5609578559
200	0.5596637371
201	0.5581539393
202	0.5568495076
203	0.5556178199
204	0.5543082237
205	0.5530406942
206	0.5517682179
207	0.5504872855
208	0.5491288104
209	0.5480410167
210	0.5468098843
211	0.5456786278
212	0.5444928316
213	0.5433520762
214	0.5420704602
215	0.5408343195
216	0.5397916154
217	0.5386815951
218	0.5373923395
219	0.5362807101
220	0.5348905722
221	0.5339402688
222	0.5329999666
223	0.5317050522
224	0.5306568508
225	0.5280311485
226	0.5269251539
227	0.5257960683
228	0.5246222558
229	0.5236642262
230	0.5226393034
231	0.5213517277
232	0.5202266659
233	0.5192805711
234	0.5180340197
235	0.5169246313
236	0.5158074662
237	0.5149011211
238	0.5138851021
239	0.5127952399
240	0.5117932342
241	0.5109021149
242	0.5098800423
243	0.5089454794
244	0.5079669544
245	0.5067387232
246	0.5057342574
247	0.5049276514
248	0.5039043311
249	0.5029928355
250	0.5022282505
251	0.5011977202
252	0.5002939423
253	0.499488808
